accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ
199,59,-2087,-161,111,-11,6,23,-3
203,60,-2082,-155,107,-13,9,23,0
202,64,-2090,-152,108,-18,6,23,0
200,63,-2085,-157,115,-15,6,21,2
201,57,-2093,-145,109,-7,4,24,2
206,65,-2089,-148,110,-4,8,22,1
201,59,-2088,-158,108,-16,10,22,1
202,62,-2091,-152,114,-18,4,22,1
199,63,-2091,-146,114,-8,9,20,0
200,59,-2086,-148,114,-8,7,22,2
199,61,-2091,-154,114,-12,6,22,-1
197,62,-2095,-156,114,-6,7,21,1
204,59,-2083,-154,114,-12,8,23,-2
200,59,-2088,-157,115,-15,7,22,0
200,62,-2094,-144,112,-6,5,21,0
200,60,-2093,-146,108,-16,6,23,1
204,60,-2089,-147,109,-15,5,21,1
201,58,-2090,-145,115,-23,7,22,0
197,62,-2097,-153,101,-7,6,22,0
203,62,-2091,-148,118,-12,8,24,2
203,61,-2096,-151,113,-13,6,22,-1
203,58,-2093,-154,116,-8,9,22,-1
202,60,-2091,-150,112,-14,5,22,-2
200,62,-2090,-144,114,-12,6,21,1
203,64,-2090,-147,111,-11,7,22,1
201,58,-2095,-149,115,-15,9,22,2
200,56,-2093,-143,117,-17,7,21,1
201,62,-2087,-146,114,-14,8,22,3
199,61,-2093,-145,109,-11,7,22,-1
206,64,-2088,-146,114,-16,6,23,0
198,61,-2090,-146,118,-8,9,23,2
198,59,-2095,-147,109,-21,8,22,1
198,58,-2090,-146,116,-14,7,22,0
201,63,-2087,-160,114,-14,8,24,3
201,61,-2094,-150,114,-12,5,21,-2
204,61,-2091,-148,108,-12,6,24,1
198,61,-2092,-155,115,-15,9,21,-2
198,60,-2100,-139,117,-11,5,20,0
199,58,-2088,-151,113,-11,5,21,0
205,61,-2094,-148,106,-8,8,21,0
203,60,-2093,-150,112,-14,4,23,0
200,61,-2097,-152,104,-10,7,22,0
202,59,-2092,-155,111,-9,6,22,1
201,61,-2092,-152,108,-14,7,22,1
202,61,-2082,-154,112,-16,4,21,-3
204,62,-2090,-152,106,-14,10,24,2
204,58,-2090,-148,120,-14,8,25,3
200,60,-2089,-153,113,-13,7,21,1
202,62,-2087,-147,111,-11,7,20,0
199,60,-2088,-145,119,-13,5,24,0
197,61,-2087,-150,116,-12,6,23,-1
203,60,-2092,-157,117,-13,6,21,1
202,64,-2090,-153,115,-9,9,23,0
199,60,-2092,-154,110,-10,5,24,0
203,65,-2093,-150,112,-6,6,24,1
202,61,-2090,-142,110,-14,8,23,2
202,65,-2098,-144,114,-14,7,20,-1
202,65,-2089,-154,116,-8,7,24,0
199,63,-2091,-153,113,-11,6,22,1
201,66,-2086,-159,103,-15,7,21,-1
199,66,-2097,-145,113,-17,6,22,-1
199,63,-2091,-148,112,-2,6,23,1
202,64,-2088,-149,117,-11,7,21,0
201,60,-2093,-146,112,-10,7,23,0
201,62,-2092,-153,113,-7,6,23,0
199,64,-2083,-148,110,-14,6,23,1
203,61,-2087,-153,121,-13,8,21,0
202,58,-2090,-147,113,-15,8,21,-2
202,61,-2088,-152,116,-10,7,22,0
201,62,-2088,-148,118,-16,9,23,-2
201,63,-2089,-150,118,-10,4,24,2
203,56,-2091,-153,115,-17,5,22,1
197,62,-2087,-150,116,-18,6,22,-1
199,62,-2084,-154,120,-10,8,22,-2
201,60,-2092,-156,114,-10,7,23,4
201,59,-2091,-156,110,-14,8,21,1
203,58,-2082,-154,110,-14,8,21,1
201,60,-2089,-148,108,-14,9,21,1
203,62,-2085,-154,116,2,6,23,1
201,61,-2084,-145,107,-7,9,22,0
202,65,-2092,-152,118,-14,5,21,0
199,63,-2090,-157,109,-11,9,22,1
199,66,-2089,-146,108,-14,8,23,2
204,61,-2083,-153,109,-19,6,23,1
203,61,-2088,-148,116,-12,4,23,2
204,59,-2083,-153,113,-13,8,23,-1
205,59,-2084,-149,117,-5,7,22,1
203,63,-2091,-146,116,-10,8,22,0
205,62,-2092,-152,110,-10,9,22,1
203,62,-2089,-148,106,-16,6,26,0
203,60,-2089,-146,120,-8,6,23,2
205,56,-2087,-150,110,-16,7,22,1
201,63,-2092,-151,107,-11,8,22,0
204,62,-2084,-149,119,-3,8,21,1
200,62,-2084,-158,106,-22,7,22,1
202,60,-2090,-157,115,-21,6,22,1
199,58,-2082,-157,109,-17,8,22,4
202,62,-2084,-147,109,-15,4,22,0
200,60,-2087,-150,120,-8,7,23,0
203,63,-2086,-144,114,-12,7,21,2
199,62,-2093,-154,118,-12,7,20,-1
204,60,-2090,-157,115,-15,7,23,1
199,65,-2091,-150,120,-10,7,23,1
199,60,-2089,-152,104,-18,9,23,-1
