accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ
926,-1009,-2050,61,389,-97,-5123,543,-1892
611,-1090,-1861,47,379,-97,-3341,262,-356
530,-1004,-1635,47,383,-103,-3730,-1048,-317
644,-718,-1808,27,381,-93,-2779,1541,-842
712,-685,-2072,34,388,-98,-2642,130,-1232
788,-649,-1796,28,394,-100,-1292,-667,-1124
915,-670,-1744,23,385,-101,-1455,-1384,-420
790,-746,-1764,21,385,-103,-1848,-887,1695
517,-357,-2177,11,383,-97,-3348,-58,3922
528,-708,-2130,-6,388,-98,-1379,-299,1671
530,-523,-1901,4,388,-86,71,154,1093
618,-515,-1931,-3,387,-99,690,-426,591
607,-670,-1862,11,389,-87,669,-1410,1223
597,-578,-1970,-2,390,-96,917,-3216,1569
704,-600,-1535,-1,401,-91,1316,-4417,1588
593,-411,-1435,7,403,-81,1179,-2107,1489
20,-727,-2139,14,402,-80,1625,-982,-1039
-90,-1351,-2137,20,414,-86,1356,-1309,-1127
415,-598,-2000,23,425,-91,1233,-3155,-746
551,-935,-1741,24,426,-88,1578,-2431,-1436
435,-955,-1737,19,431,-83,1532,-1620,400
108,-902,-1839,27,439,-81,1553,-584,1401
-105,-685,-2010,26,438,-86,-196,-3181,-1241
270,-962,-2030,26,444,-76,-69,-1640,-2011
594,-999,-1401,43,437,-75,2156,1979,-1981
668,-977,-1500,39,433,-75,888,4006,-806
555,-657,-2031,36,434,-84,-319,2645,1607
392,-704,-2067,39,423,-83,-277,858,2881
123,-798,-2179,31,423,-81,-825,-1178,3640
-458,-889,-1987,29,435,-95,-646,-1302,2795
763,-1137,-753,27,433,-83,-956,-684,725
726,-938,-1303,16,418,-86,-3776,1479,1991
523,-601,-1598,1,419,-81,-6053,1296,3984
-34,-188,-2355,-16,420,-80,-8094,110,5282
-30,-522,-2029,-37,417,-71,-7658,-1035,4776
-122,-856,-1736,-52,424,-64,-9580,-3013,5358
16,-486,-1131,-89,413,-39,-13393,-5878,6205
581,712,-1050,-109,417,-3,-16780,-5726,8548
-407,2084,-1936,-148,392,42,-17712,-3347,12343
-1218,2471,-2242,-167,365,83,-16744,-3238,11844
-893,1865,-2010,-178,354,118,-14290,-2709,7772
-25,1385,-1310,-187,329,149,-13112,-1413,5265
548,1386,-760,-163,329,179,-14234,-805,5114
702,1742,-144,-155,315,221,-16653,-250,7018
266,2065,-412,-136,294,262,-16446,278,7250
214,2388,-126,-114,286,288,-15418,-1424,5644
230,2169,-73,-88,282,318,-11852,-2726,2608
511,1646,422,-73,271,323,-8634,-2736,-539
922,1334,408,-62,274,328,-6459,-2289,-1790
905,1320,613,-49,265,347,-6236,-3370,-1524
653,1487,700,-35,261,345,-7244,-5304,-1103
116,1822,734,-22,246,346,-6360,-5528,62
206,1567,800,-6,240,342,-8807,-3814,397
822,1419,1139,14,238,352,-9811,-2904,-21
1397,1264,1805,33,227,357,-8962,-177,355
840,1491,2050,51,235,349,-8094,2322,785
126,1710,2157,63,243,357,-9791,2692,-372
327,1347,2150,81,249,357,-10506,2285,-2562
537,860,1747,96,248,356,-8947,2047,-2179
523,280,2069,118,252,356,-7269,1449,-1148
743,447,1404,146,264,348,-12973,2103,298
200,196,2356,155,259,335,-9939,1046,826
206,199,2324,173,261,321,-10081,2749,-445
281,-164,2028,190,270,302,-8560,3765,163
231,-370,2085,196,274,296,-7115,4218,-419
170,-426,2441,214,282,278,-7384,7727,-853
18,-804,2187,221,289,267,-8700,11632,255
-316,-834,2229,242,312,256,-10837,12640,292
-502,-916,2107,245,319,229,-15484,11564,-1256
-585,-993,-845,263,317,191,-14895,8290,-2222
-889,-1563,1065,257,311,179,-3617,3684,-1995
-782,-1519,568,264,318,162,-4532,6522,-1912
-666,-1470,696,258,304,162,-5327,5146,-1399
-670,-1611,759,269,307,151,-6509,646,-1520
-821,-1712,793,264,302,144,-5736,671,-1522
-857,-1874,499,258,296,126,-4519,3953,-1589
-989,-1829,344,261,295,123,-2121,9752,-727
-1015,-1664,68,263,289,115,-1280,12092,-81
-980,-1565,-98,258,282,118,-2495,11223,759
-946,-1575,-150,260,290,112,-4060,10021,1857
-968,-1373,-367,246,290,106,-5187,11068,2780
-981,-1229,-870,252,300,100,-6079,11085,3518
-1169,-1435,-1312,249,299,85,-7944,11068,3643
-1407,-1709,-1271,247,293,77,-9962,13351,3327
-1010,-1497,-1338,249,287,55,-10567,14654,2927
-799,-1428,-1476,238,286,42,-11294,14189,1070
-1298,-1596,-1651,226,270,24,-10029,11288,291
-118,-534,-2048,218,260,6,-9807,7890,1941
133,-694,-1976,205,251,-9,-10265,5035,2838
-16,-693,-1908,187,257,-15,-9751,3649,3206
-46,-317,-2133,181,255,-31,-9057,4130,3850
-1,-165,-2098,171,257,-35,-8520,4911,4643
153,-15,-1939,161,243,-45,-7737,6737,4744
408,42,-1894,146,236,-44,-6879,8486,4554
868,658,-1864,145,221,-35,-6774,7947,4127
1177,672,-1661,133,221,-37,-6440,4177,3322
1039,753,-1717,123,219,-45,-4635,1771,2776
828,781,-1945,129,223,-43,-3040,475,3220
1010,651,-2090,121,225,-43,-1863,577,4060
1292,825,-2269,127,231,-41,-1639,402,3691
1180,1000,-1912,136,230,-56,-1398,-1368,2401
1008,881,-1895,132,238,-56,-644,-2339,2699
1282,615,-1896,134,238,-56,-561,-2192,3387
1687,1009,-1829,136,248,-50,155,-843,3010
1211,716,-2317,140,248,-60,975,546,352
1299,678,-2203,134,242,-58,111,1191,-567
1237,593,-1659,138,244,-58,-106,257,-2005
698,394,-1282,135,241,-63,691,837,-2212
408,510,-1886,133,233,-45,2444,2032,-1416
1170,562,-2062,137,229,-45,2380,2141,-417
1500,660,-1964,143,223,-35,1763,2197,-1132
1335,435,-1756,137,221,-33,562,2230,-2791
1052,471,-1523,134,208,-22,376,2011,-3802
731,367,-1576,135,205,-29,1297,1979,-3362
914,455,-1435,133,191,-17,1988,3221,-2684
1202,520,-1517,129,187,-5,2945,4187,-2204
1095,553,-1865,133,183,9,2859,2055,-1138
1153,-181,-1901,139,183,5,1669,897,-125
685,86,-1778,140,180,4,1879,-2363,-8
956,-4,-1474,139,181,1,1157,1280,-1804
1204,440,-1278,149,181,9,2546,1276,-2373
1188,582,-2626,131,175,27,-166,8116,-2764
1516,540,-1330,132,162,38,-448,7067,-2231
1491,172,-1261,133,143,63,1044,11849,-1573
1459,377,-1265,126,156,94,871,9170,-48
1672,452,-986,130,138,114,70,8189,762
1778,610,-848,135,135,141,-642,8342,582
1950,721,-626,131,137,153,-1372,9794,180
2232,1000,-329,135,131,179,-145,16866,275
2287,564,620,128,150,234,3292,31397,373
1780,235,-158,120,180,296,4552,23837,-2594
1555,393,1548,113,207,315,2748,14078,-2601
1595,298,1444,116,234,332,-1850,10248,-2674
1412,242,1128,118,244,334,-4559,5996,-645
886,533,1236,124,258,338,-2872,6404,16
886,664,1684,125,269,343,-639,9468,-1062
915,617,2063,112,284,348,-1043,11065,-1543
894,518,2196,132,316,350,-2558,10031,-1528
805,557,2271,131,329,351,-3438,7489,-1504
1015,683,2650,142,342,354,-2912,5230,-1485
814,682,2351,145,347,347,-4381,5224,-376
468,408,1574,162,364,332,-5611,5558,307
184,139,1185,162,380,328,-3498,6375,733
-273,-158,1702,172,390,324,-745,5859,1429
-1644,153,2039,174,400,316,-627,4941,-240
-230,-346,2142,168,402,330,2577,3480,-3523
1135,166,3191,173,409,289,-5194,8597,682
-563,229,1327,177,431,287,-4191,11350,-601
-641,-154,1403,189,439,277,-1177,8454,276
-1078,-46,1639,188,450,268,1169,9094,-819
-1196,-155,1938,180,470,262,3425,12267,-1238
-1177,-176,2149,187,487,243,3385,15784,-1127
-1482,-161,1899,180,498,218,1481,19006,-2487
-1283,-567,1278,183,509,181,876,25997,-3049
-188,257,830,196,510,118,-3873,32767,-1901
-1520,815,-1373,199,477,39,-865,31344,-4064
-1867,-575,-975,200,444,22,2728,15753,1100
-891,-283,-853,201,445,-1,-3905,9419,1068
-919,93,-1539,204,428,-4,-2240,8959,1200
-1010,9,-1908,196,418,-16,-1155,10795,-81
-867,200,-2284,197,385,-37,-1042,13551,2
-783,146,-2249,190,362,-46,-2091,13251,237
-548,18,-2127,183,343,-43,-2393,12558,310
-119,107,-2161,181,327,-41,-2388,11643,536
419,256,-2060,168,292,-46,-2247,10380,478
578,265,-1888,166,286,-46,-682,9823,366
542,218,-1972,171,257,-35,134,8708,-490
488,82,-1953,175,251,-29,3012,8304,-515
1096,-265,-1885,183,229,-11,3851,6005,-1893
981,132,-2159,179,215,-11,-2206,5590,-4965
1431,-76,-2026,156,198,-6,-2743,4455,-2370
1249,488,-1865,153,201,-5,-2440,2551,-2488
515,234,-2076,158,192,2,-1136,3823,-1790
1035,375,-1475,154,188,-2,54,3874,1097
1294,232,-1611,151,187,13,1374,5248,2582
1494,401,-1523,158,186,20,754,5677,2356
1720,323,-1443,163,171,31,911,7923,674
1700,336,-1349,162,166,56,1209,9977,-157
1707,251,-971,171,159,83,1197,12446,375
1694,249,-508,168,158,114,318,13245,1669
1777,287,76,172,152,140,-1169,15286,1827
2783,90,-963,170,158,174,-882,19507,2300
3093,-447,-1802,179,171,225,3881,19768,5293
1830,155,303,191,205,259,9193,14010,8635
846,392,1011,176,236,288,9988,13927,6575
1313,-89,2048,172,264,312,5997,11772,1751
1151,51,1378,174,278,340,64,8821,-1134
1637,-329,1322,166,292,328,-1094,9440,-1114
1546,-235,1290,168,308,328,146,9753,1035
1179,-286,2187,172,342,340,1828,10104,2548
624,-126,1620,172,360,336,-70,9286,2323
507,-331,1793,166,388,330,98,7720,1537
524,-404,2109,163,395,343,55,6521,1518
303,-176,1986,164,410,326,-263,6168,1882
198,-122,1996,164,422,322,449,5291,1399
114,26,2253,155,421,313,2220,4671,1004
155,43,2329,154,440,320,2633,4390,432
-13,-64,2101,159,443,313,1270,3966,162
-228,-202,1996,144,452,310,720,2762,344
-383,-193,1739,149,463,313,2394,3452,1220
-499,-61,1740,137,465,309,3326,949,1523
233,135,201,124,474,308,8209,10632,2516
-244,681,2228,112,482,318,10157,-1387,4030
-502,933,2776,81,477,321,7560,-195,2715
-1345,1456,1177,69,489,317,5564,4236,183
199,650,2065,55,495,303,7479,6108,-1430
-281,1286,1558,55,507,289,6972,3133,568
-843,1440,1667,41,505,297,9994,2432,-1063
-539,987,1956,24,510,290,9528,3694,-4501
-601,1172,1570,12,524,278,7932,6077,-2754
-831,1308,1295,9,527,251,8502,7170,-1034
-1043,1544,925,14,538,232,10169,8725,-1078
-1033,1748,818,-2,560,212,11282,10601,-1015
-1161,1804,595,-6,552,182,10615,13425,-1230
-1123,1729,-188,-2,566,134,9612,16430,-1899
-843,1353,-536,6,562,92,8117,16969,-1829
-632,1199,-858,14,548,50,6526,16081,-1451
-650,1093,-1357,18,530,12,6304,13395,-1313
-725,1045,-1419,34,508,-14,10248,9899,-102
-728,1107,-1767,47,501,-33,14090,8960,1877
-591,1021,-1724,72,482,-38,13091,9273,2167
-356,529,-1604,101,461,-55,12164,10557,1337
-93,354,-1792,123,439,-53,15401,9195,1211
11,-9,-2166,148,434,-52,13570,7816,569
248,-322,-2526,164,424,-46,6649,4412,713
463,-410,-2231,168,414,-50,-185,1491,1956
457,-705,-2078,162,420,-48,-433,986,2106
738,-414,-2315,160,414,-40,3809,1591,2532
699,-529,-2021,172,410,-36,4856,2381,687
526,-556,-1733,175,407,-31,2581,1096,-823
379,-440,-1910,186,404,-26,3667,600,-695
218,-348,-2196,200,406,-14,7242,717,-727
260,-654,-2206,207,411,-11,7167,888,-417
374,-1058,-1942,216,404,4,3269,544,1744
288,-1063,-1655,215,417,9,2061,227,3507
505,-1202,-1694,211,415,21,8056,-2381,2303
819,-1079,-1806,228,422,38,8220,-4440,802
335,-1266,-1633,224,436,62,5247,-2740,848
115,-1301,-1608,226,434,68,2979,-598,-65
54,-1224,-1578,239,431,65,3016,47,-772
165,-1285,-1498,243,429,75,3937,-106,-1304
